Transaction Date,Account Category,Amount,Invoice,Voucher Number,PO Number,Status,Account Number,Legal Entity,Line of Business,Project ID,Supplier
2023-06-14,Capex,50823,0797,622673,PO22564,Closed,181032,NL01,10100,NL01-13,Supplier A
2023-06-28,Capex,45068,2525,078647,PO46778,Closed,181030,NL01,10100,NL01-13,Supplier B
2023-10-09,Capex,40845,7221,841592,PO80257,Closed,181032,NL01,10100,NL01-13,Supplier C
2023-04-06,Capex,45965,6856,055521,PO28979,Closed,181030,NL01,10100,NL01-13,Supplier D
2023-10-16,Capex,59541,2098,988257,PO14646,Closed,181030,NL01,10100,NL01-13,Supplier E
2023-07-17,Capex,89367,4186,480467,PO08489,Closed,181030,NL01,10100,NL01-13,Supplier F
2023-11-24,Capex,92577,8397,709807,PO05448,Closed,181032,NL01,10100,NL01-13,Supplier G
2023-12-05,Capex,13473,6971,808665,PO28441,Closed,181030,NL01,10100,NL01-13,Supplier A
2023-10-07,Capex,27940,5543,851622,PO38315,Closed,181032,NL01,10100,NL01-13,Supplier B
2023-04-23,Capex,44970,6182,271324,PO03921,Closed,181030,NL01,10100,NL01-13,Supplier C
2023-02-28,Capex,77873,8159,021303,PO94310,Closed,181032,NL01,10100,NL01-13,Supplier D
2023-11-16,Capex,33724,8764,941192,PO91977,Closed,181030,NL01,10100,NL01-13,Supplier E
2023-02-09,Capex,96194,0830,785648,PO41560,Closed,181032,NL01,10100,NL01-13,Supplier F
2023-12-25,Capex,71748,9349,949997,PO46778,Closed,181030,NL01,10100,NL01-13,Supplier B
2023-01-04,Capex,36561,9676,526510,PO08489,Closed,181032,NL01,10100,NL01-13,Supplier F
2023-01-08,Capex,78422,0357,817250,PO38315,Closed,181030,NL01,10100,NL01-13,Supplier B
2023-12-13,Capex,50140,6781,555317,PO22564,Closed,181030,NL01,10100,NL01-13,Supplier A
2023-10-10,Capex,94434,8470,265615,PO03921,Closed,181032,NL01,10100,NL01-13,Supplier C
2023-09-08,Capex,32371,8950,138376,PO13316,Closed,181030,NL01,10100,NL01-13,Supplier G
2023-01-13,Capex,33910,4324,021110,PO80257,Closed,181030,NL01,10100,NL01-13,Supplier C
2023-07-07,Capex,84472,2442,495215,PO25213,Closed,181032,NL01,10100,NL01-13,Supplier A
2023-07-12,Opex,1283,5790,412027,PO83476,Closed,617800,NL01,10100,NL01-13,Supplier B
2023-08-12,Opex,2692,7477,094604,PO83476,Closed,675369,NL01,10100,NL01-13,Supplier B
